##  Ice:
##  Warren and Brandt 2008, JGR
##  eper is calculated from (n,k), mper is assumed to (1,0)
##  wl0_um  (re(eper),im(eper)) (re(mper),im(mper))
0.0443  (0.650104,0.269878)  (1,0)
0.0451  (0.650696,0.28545)  (1,0)
0.0459  (0.647961,0.302133)  (1,0)
3.215	(2.6346,0.780878)  (1,0)
3.236	(2.60273,0.627173)  (1,0)
3.257	(2.56971,0.509013)  (1,0)
3.279	(2.51505,0.384901)  (1,0)
3.3	(2.45869,0.323708)  (1,0)
3.322	(2.41384,0.260146)  (1,0)
3.345	(2.36591,0.205691)  (1,0)
3.367	(2.32006,0.16192)  (1,0)
3.39	(2.27404,0.129317)  (1,0)
3.413	(2.23348,0.105331)  (1,0)
3.436	(2.19757,0.0856111)  (1,0)
3.46	(2.16329,0.0690487)  (1,0)
3.484	(2.1324,0.0561086)  (1,0)
3.509	(2.10283,0.0460003)  (1,0)
3.534	(2.07659,0.038218)  (1,0)
3.559	(2.05279,0.0323813)  (1,0)
3.624	(2.00103,0.0230467)  (1,0)
3.732	(1.93873,0.0185802)  (1,0)
3.775	(1.91818,0.0192958)  (1,0)
3.847	(1.89056,0.022682)  (1,0)
3.969	(1.85574,0.0302976)  (1,0)
4.099	(1.82931,0.0397935)  (1,0)
4.239	(1.80787,0.0502111)  (1,0)
4.348	(1.79663,0.0646437)  (1,0)
4.387	(1.79516,0.0711861)  (1,0)
4.444	(1.79792,0.0802038)  (1,0)
4.505	(1.8064,0.085477)  (1,0)
4.547	(1.81426,0.0832631)  (1,0)
4.56	(1.81674,0.0810807)  (1,0)
4.58	(1.81924,0.0777891)  (1,0)
4.719	(1.81403,0.0522636)  (1,0)
4.904	(1.78979,0.036043)  (1,0)
5	(1.7754,0.033046)  (1,0)
5.1	(1.76025,0.0323739)  (1,0)
5.2	(1.7454,0.034404)  (1,0)
5.263	(1.73588,0.0363658)  (1,0)
5.4	(1.71582,0.0440946)  (1,0)
5.556	(1.69288,0.05809)  (1,0)
5.714	(1.67156,0.0842197)  (1,0)
5.747	(1.66724,0.0914265)  (1,0)
5.78	(1.66414,0.100228)  (1,0)
5.814	(1.66279,0.110183)  (1,0)
5.848	(1.66298,0.119827)  (1,0)
5.882	(1.66543,0.130312)  (1,0)
6.061	(1.68976,0.167607)  (1,0)
6.135	(1.70735,0.171649)  (1,0)
6.25	(1.72571,0.167293)  (1,0)
6.289	(1.72977,0.164983)  (1,0)
6.329	(1.73279,0.162617)  (1,0)
6.369	(1.73525,0.160908)  (1,0)
6.41	(1.73718,0.159146)  (1,0)
6.452	(1.73911,0.157462)  (1,0)
6.494	(1.74077,0.155816)  (1,0)
6.579	(1.74276,0.152754)  (1,0)
6.667	(1.74417,0.150697)  (1,0)
6.757	(1.74684,0.150281)  (1,0)
6.897	(1.75056,0.143755)  (1,0)
7.042	(1.75137,0.136705)  (1,0)
7.143	(1.74948,0.130772)  (1,0)
7.246	(1.74772,0.128057)  (1,0)
7.353	(1.74504,0.121606)  (1,0)
7.463	(1.74043,0.117216)  (1,0)
7.576	(1.73607,0.11311)  (1,0)
7.692	(1.7297,0.106343)  (1,0)
7.812	(1.7206,0.102648)  (1,0)
7.937	(1.71098,0.0999509)  (1,0)
8.065	(1.70083,0.0981134)  (1,0)
8.197	(1.69043,0.0968761)  (1,0)
8.333	(1.67928,0.0959336)  (1,0)
8.475	(1.66714,0.0949916)  (1,0)
8.696	(1.64604,0.0937982)  (1,0)
8.929	(1.62046,0.0933221)  (1,0)
9.091	(1.60012,0.0937989)  (1,0)
9.259	(1.57635,0.0951873)  (1,0)
9.524	(1.53276,0.0997401)  (1,0)
9.804	(1.47449,0.108144)  (1,0)
10	(1.41979,0.119451)  (1,0)
10.2	(1.35515,0.150658)  (1,0)
10.31	(1.31711,0.172515)  (1,0)
10.42	(1.27436,0.199285)  (1,0)
10.53	(1.22844,0.240538)  (1,0)
10.64	(1.18567,0.294023)  (1,0)
10.75	(1.15269,0.365131)  (1,0)
10.87	(1.13192,0.441986)  (1,0)
11	(1.12355,0.539946)  (1,0)
11.11	(1.13667,0.617288)  (1,0)
11.36	(1.19223,0.78014)  (1,0)
11.63	(1.29228,0.908311)  (1,0)
11.9	(1.40674,1.02626)  (1,0)
12.2	(1.56273,1.11357)  (1,0)
12.5	(1.73239,1.16658)  (1,0)
12.82	(1.91465,1.16161)  (1,0)
12.99	(2.00458,1.14234)  (1,0)
13.16	(2.08858,1.11661)  (1,0)
13.33	(2.16446,1.07135)  (1,0)
13.51	(2.22867,1.0251)  (1,0)
13.7	(2.29027,0.973854)  (1,0)
13.89	(2.34592,0.917045)  (1,0)
14.08	(2.39177,0.850994)  (1,0)
14.29	(2.42799,0.77613)  (1,0)
14.71	(2.4452,0.624175)  (1,0)
15.15	(2.41826,0.512894)  (1,0)
15.38	(2.39772,0.472994)  (1,0)
15.63	(2.37645,0.43966)  (1,0)
16.13	(2.34076,0.393037)  (1,0)
16.39	(2.32589,0.38255)  (1,0)
16.67	(2.32394,0.376232)  (1,0)
16.95	(2.32928,0.355099)  (1,0)
17.24	(2.33037,0.327484)  (1,0)
18.18	(2.28626,0.239228)  (1,0)
18.32	(2.2753,0.234172)  (1,0)
18.61	(2.25736,0.224291)  (1,0)
18.87	(2.23942,0.215741)  (1,0)
19.23	(2.22596,0.227073)  (1,0)
19.61	(2.23329,0.224445)  (1,0)
20	(2.24131,0.200812)  (1,0)
20.41	(2.23379,0.164516)  (1,0)
20.83	(2.21123,0.133893)  (1,0)
22.22	(2.12347,0.084535)  (1,0)
22.6	(2.09769,0.079673)  (1,0)
23.05	(2.06999,0.077706)  (1,0)
23.6	(2.03901,0.0779797)  (1,0)
24.6	(1.98783,0.0815096)  (1,0)
25	(1.96751,0.08418)  (1,0)
26	(1.91818,0.0942072)  (1,0)
28.57	(1.79405,0.137311)  (1,0)
31	(1.67453,0.223456)  (1,0)
33.33	(1.57978,0.340801)  (1,0)
34.48	(1.54393,0.404719)  (1,0)
35.64	(1.51287,0.471665)  (1,0)
37	(1.48082,0.551004)  (1,0)
38.24	(1.45318,0.622748)  (1,0)
39.6	(1.41751,0.698586)  (1,0)
41.14	(1.34801,0.781099)  (1,0)
42.76	(1.22312,0.926444)  (1,0)
43.58	(1.1294,1.04426)  (1,0)
44.58	(1.01522,1.27261)  (1,0)
45.5	(0.944981,1.60774)  (1,0)
46.15	(0.98283,1.92761)  (1,0)
46.71	(1.1342,2.22429)  (1,0)
47.36	(1.45288,2.49088)  (1,0)
48	(1.85431,2.59)  (1,0)
48.78	(2.28652,2.49718)  (1,0)
50.03	(2.68097,2.16747)  (1,0)
51.28	(2.82833,1.8895)  (1,0)
52.75	(2.8931,1.68906)  (1,0)
53.5	(2.91679,1.62685)  (1,0)
54.24	(2.96592,1.58989)  (1,0)
55	(3.04624,1.51325)  (1,0)
55.74	(3.10975,1.39361)  (1,0)
56.4	(3.13172,1.26576)  (1,0)
57	(3.11629,1.14672)  (1,0)
57.46	(3.08132,1.06153)  (1,0)
58.4	(2.96038,0.925864)  (1,0)
59.29	(2.80025,0.869863)  (1,0)
60	(2.68136,0.925177)  (1,0)
61	(2.60122,1.0101)  (1,0)
61.25	(2.58932,1.03164)  (1,0)
62.5	(2.55995,1.13654)  (1,0)
63.78	(2.57246,1.23467)  (1,0)
64.67	(2.60202,1.29515)  (1,0)
65.58	(2.64504,1.34836)  (1,0)
66.55	(2.702,1.39457)  (1,0)
67.6	(2.77342,1.4307)  (1,0)
69	(2.87697,1.45562)  (1,0)
70.53	(2.99408,1.45405)  (1,0)
73	(3.16025,1.39297)  (1,0)
75	(3.26707,1.30517)  (1,0)
76.29	(3.31242,1.23607)  (1,0)
80	(3.37926,1.09617)  (1,0)
82.97	(3.41355,1.00029)  (1,0)
85	(3.42896,0.941501)  (1,0)
86.8	(3.43941,0.893812)  (1,0)
90.8	(3.45036,0.800274)  (1,0)
95.17	(3.4532,0.714735)  (1,0)
100	(3.45061,0.636474)  (1,0)
120	(3.40888,0.425847)  (1,0)
160	(3.33273,0.244207)  (1,0)
210	(3.27934,0.155128)  (1,0)
300	(3.23539,0.0917079)  (1,0)
500	(3.20677,0.0503215)  (1,0)
1300	(3.19263,0.0184862)  (1,0)
5000	(3.19015,0.00477603)  (1,0)
19000	(3.19015,0.0012767)  (1,0)
39000	(3.19015,0.000656928)  (1,0)
61000	(3.19015,0.000462243)  (1,0)
86000	(3.19015,0.000377939)  (1,0)
110000	(3.19015,0.00034561)  (1,0)
140000	(3.19015,0.000334358)  (1,0)
180000	(3.19015,0.000343396)  (1,0)
240000	(3.19015,0.000380797)  (1,0)
340000	(3.19015,0.000468673)  (1,0)
540000	(3.19015,0.000676932)  (1,0)
1e6	(3.19015,0.00119597)  (1,0)
2e6	(3.19015,0.00235622)  (1,0)
